Host	Sat	r50m	r90m	r50r	r90r	SFR_mem	u_mem	g_mem	r_mem	i_mem	z_mem	metal_mem	ager_mem	t50_mem	t90_mem	SFR_r50m	u_r50m	g_r50m	r_r50m	i_r50m	z_r50m	metal_r50m	ager_r50m	t50_r50m	t90_r50m	mgas_r50m	mcold_r50m	mdm_r50m	SFR_r90m	u_r90m	g_r90m	r_r90m	i_r90m	z_r90m	metal_r90m	ager_r90m	t50_r90m	t90_r90m	mgas_r90m	mcold_r90m	mdm_r90m	SFR_r50r	u_r50r	g_r50r	r_r50r	i_r50r	z_r50r	metal_r50r	ager_r50r	t50_r50r	t90_r50r	mgas_r50r	mcold_r50r	mdm_r50r	SFR_r90r	u_r90r	g_r90r	r_r90r	i_r90r	z_r90r	metal_r90r	ager_r90r	t50_r90r	t90_r90r	mgas_r90r	mcold_r90r	mdm_r90r	SFR_rmax	u_rmax	g_rmax	r_rmax	i_rmax	z_rmax	metal_rmax	ager_rmax	t50_rmax	t90_rmax	mgas_rmax	mcold_rmax	mdm_rmax
7	1058	1.1911657781372414e-05	2.4857003341210334e-05	1.1912545870243369e-05	2.4879067657379435e-05	0.0	49325.511166699376	126260.74117617813	195536.9700506084	239155.57244803608	262303.4439131964	0.00027170200502290036	3.932814373818581	3.8823416893918403	4.038521674171733	0.0	24601.992264350094	63024.82836237936	97680.7338860581	119524.64344840414	131157.10150017607	0.00027586814933790583	3.942100763461212	3.883060939435687	4.037882767261212	128602033.5696451	128302330.81322066	213453782.12131277	0.0	44360.23126098085	113575.64411711936	175904.2719339982	215092.44368402887	235854.0222286322	0.00027396093452963235	3.933095535920752	3.882231147555023	4.038143352105495	250782789.6937623	228426674.50414157	555494179.9783561	0.0	24622.312504757745	63076.39179413773	97760.865669921	119624.93245147185	131269.80426430792	0.00027576338870570423	3.9421762332063244	3.883141097234741	4.037882767261212	128602033.5696451	128302330.81322066	213453782.12131277	0.0	44380.1074707885	113626.4259721239	175983.3111683085	215190.56212184517	235963.32007975236	0.00027392512421153093	3.933137779959383	3.882231147555023	4.038143352105495	250957997.31413072	228520216.81660324	555494179.9783561	0.0	51326.039163652735	131366.682502997	203443.86301332575	248876.81268905546	273022.4282855957	0.0002702892789618213	3.933224219245612	3.882427740849665	4.038862089969965	319544971.5179221	233168905.4060222	946397491.814977
8	623	1.4372983327946063e-05	2.266313434785033e-05	1.4372983327946063e-05	2.266313434785033e-05	0.0	1259.0471602058444	3477.6741328063613	5817.576803979247	7505.493889475089	8527.69467971043	0.00016073421945782284	10.181537479774093	10.041475790782984	10.58665156955088	0.0	625.5969687321208	1727.880835398698	2890.3169968164143	3728.866775146932	4236.677569547589	0.00016031478923346227	10.177071092242558	10.04175547778999	10.58665156955088	4715.3002252627275	0.0	186450592.81680936	0.0	1284.8875246504304	3548.8149356057856	5936.175505098932	7658.331190917435	8701.17367877966	0.00016058708944422106	10.179211970024243	10.041459195340238	10.58665156955088	18349.74700978624	0.0	336896933.22761416	0.0	625.5969687321208	1727.880835398698	2890.3169968164143	3728.866775146932	4236.677569547589	0.00016031478923346227	10.177071092242558	10.04175547778999	10.58665156955088	4715.3002252627275	0.0	186450592.81680936	0.0	1284.8875246504304	3548.8149356057856	5936.175505098932	7658.331190917435	8701.17367877966	0.00016058708944422106	10.179211970024243	10.041459195340238	10.58665156955088	18349.74700978624	0.0	336896933.22761416	0.0	1784.2091945552775	4928.554268466739	8245.927293432786	10639.339222347719	12089.606711531898	0.0001627608545424921	10.165078008483308	10.041459195340238	10.58304106058002	43957.36270808798	0.0	492486738.26784813
8	628	1.2706339455103475e-05	2.0562157943660023e-05	1.2706339455103475e-05	2.0562157943660023e-05	0.0	869.8333511767938	2414.2208291419806	4062.716041521053	5251.901992649318	5977.877607841327	0.0002154882849968078	10.34591435249024	10.240479381087809	10.752177462857624	0.0	434.867086676275	1206.9199165419095	2030.9231591880703	2625.285654755166	2988.0498609029178	0.00021340253719100299	10.348882529737365	10.239264862341102	10.760130953134505	24423.70641802276	0.0	162019135.82702053	0.0	845.3049791957559	2346.249095841009	3948.9328659825633	5105.147459789536	5811.25563485385	0.00021774744232924093	10.33839636657427	10.212320345943692	10.756831132993506	110530.59021603849	0.0	273889491.5171061	0.0	434.867086676275	1206.9199165419095	2030.9231591880703	2625.285654755166	2988.0498609029178	0.00021340253719100299	10.348882529737365	10.239264862341102	10.760130953134505	24423.70641802276	0.0	162019135.82702053	0.0	845.3049791957559	2346.249095841009	3948.9328659825633	5105.147459789536	5811.25563485385	0.00021774744232924093	10.33839636657427	10.212320345943692	10.756831132993506	110530.59021603849	0.0	273889491.5171061	0.0	1058.906669581011	2937.9411020448583	4941.461831695757	6386.371055642812	7267.363050393536	0.00021042534647783707	10.364153214786196	10.277047691923723	10.758359392363257	178773.56125581136	0.0	320180673.18196917
9	621	1.8857044943619087e-05	3.096491219986116e-05	1.884828175924312e-05	3.086383027142264e-05	0.0	8031.006264419204	22296.79411595961	37620.54433485846	48790.62053064302	55739.79128634997	0.00025066005492028435	9.709866162037649	9.595500834476022	10.070792497944797	0.0	4016.857929670743	11157.08237523738	18837.204785236594	24438.99323802802	27929.95867492596	0.00025701751777479305	9.68662472914002	9.592942859352464	10.013452388708068	6219019.404514777	485289.0968763002	527205124.51649535	0.0	7319.121817164241	20321.853979302923	34292.211068807934	44477.352113368564	50815.98381145871	0.0002518722725224838	9.704339904112725	9.594817176300019	10.05021622897525	7305459.955384525	485289.0968763002	912964971.7236872	0.0	4008.2817048677466	11133.133936521699	18796.458075822928	24385.90906224065	27869.047508839405	0.0002568662810551975	9.686979985900237	9.592965876833368	10.013452388708068	6218706.855159685	485289.0968763002	527205124.51649535	0.0	7302.038231704528	20274.698507579167	34213.35155838649	44375.5892320156	50700.315447111134	0.000252114777760906	9.703518837692961	9.59468025739209	10.049441353019848	7303444.108845377	485289.0968763002	911679105.5663297	0.0	8775.604159228562	24362.447347047182	41101.356333362324	53300.790720392906	60887.480939084046	0.00024939243201563217	9.717129871028783	9.596014846102674	10.103177546310569	7822103.525823077	485289.0968763002	1198427258.6570091
9	985	3.760827176417105e-05	6.232316728409087e-05	3.760018462626039e-05	6.229369862063028e-05	0.0	131036.47624313972	351939.6285102455	581051.8692655893	765875.0948402031	891322.8027520583	0.00013767329510328338	6.378291486413185	6.435303721260872	6.4401801498760465	0.0	65624.97091780877	176247.25455667757	290894.5350554871	383352.28779591277	446112.6131855007	0.00013728080752979164	6.368517534370945	6.4356105316420535	6.440173266062369	153288697.53064555	101512250.92793831	2324846012.502009	0.0	118609.29439584672	318571.6165471468	525943.7981865101	693233.8080504661	806803.633865215	0.00013798839981484878	6.375694043386	6.435321846588342	6.440191677291076	225266570.80803204	101512250.92793831	3703294533.189041	0.0	65543.60697839115	176031.009820559	290541.02717437275	382889.6267252815	445578.4968670546	0.0001374187090550217	6.368432246068611	6.43560219632052	6.4401750306164445	153288635.60001487	101512250.92793831	2314559083.2431507	0.0	118569.33019279747	318464.58560161985	525767.3845827198	693001.6625701615	806534.1116127443	0.00013800116590313613	6.3756735375247855	6.435321846588342	6.440190045499348	225060532.4375116	101512250.92793831	3693007603.9301825	0.0	147351.15428918603	395826.6567804986	653662.5370898835	861717.7424030409	1003006.5937432027	0.00013962570983990896	6.3796128827736895	6.43502817409472	6.440159186232014	296896312.42604995	101512250.92793831	4948012973.510913
9	812	1.380385707398306e-05	2.1374189729597083e-05	1.380385707398306e-05	2.1374189729597083e-05	0.0	2250.293642274748	6177.301827969234	10283.699898694009	13301.269684933055	15164.059028007707	0.00015441727878282767	9.048986521086942	9.138037322635768	9.199318669906836	0.0	1125.8753628604168	3094.634848056988	5161.924890967969	6684.954510737476	7630.226713458545	0.00016935673709499125	9.006318744848242	9.115929545198869	9.193643650599919	13285036.014014015	7788501.961603399	345897996.3291153	0.0	2051.620859915971	5632.711562452315	9379.02151472163	12132.601879001219	13833.306266342339	0.00015633958782309597	9.045446249723762	9.137986852414745	9.1980557945749	19056425.330929935	7788501.961603399	564495243.0798572	0.0	1125.8753628604168	3094.634848056988	5161.924890967969	6684.954510737476	7630.226713458545	0.00016935673709499125	9.006318744848242	9.115929545198869	9.193643650599919	13285036.014014015	7788501.961603399	345897996.3291153	0.0	2051.620859915971	5632.711562452315	9379.02151472163	12132.601879001219	13833.306266342339	0.00015633958782309597	9.045446249723762	9.137986852414745	9.1980557945749	19056425.330929935	7788501.961603399	564495243.0798572	0.0	2721.524470325901	7472.514579817242	12443.607532526017	16097.30465332916	18354.171260956966	0.00015605908844790707	9.04854549857113	9.137052501621726	9.1980557945749	23915881.340946402	7788501.961603399	785664222.145314
10	611	1.7736286443632215e-05	2.6315258004353113e-05	1.762178979633574e-05	2.624527048518063e-05	0.0	4578.777470948284	12668.419495751968	21279.17484541243	27559.889799260098	31444.116492142537	0.00020992484637605787	9.632790646087102	9.56820623971939	10.043939535942037	0.0	2295.671646399911	6354.673220263626	10682.734789969083	13844.730290505671	15805.981504926607	0.0002164753636263132	9.5867055281699	9.565396156054447	10.045118583016144	64380852.6664198	53833823.507070236	342040397.8570434	0.0	4150.721710896551	11485.565855995781	19296.36253823654	24995.256207570994	28521.96655955132	0.00021181957374092911	9.622380861210637	9.567606261458238	10.042768508590969	86225411.91771209	55543192.4514974	564495243.0798572	0.0	2286.6828914151547	6329.600409438278	10640.074941302611	13788.991692579993	15741.842930762017	0.00021605480369503799	9.588695219326949	9.565396156054447	10.045118583016144	64044450.10500282	53820067.7948665	336896933.22761416	0.0	4133.35676514709	11437.576515363526	19215.921515367827	24891.264937488024	28403.53657505388	0.00021192074971205938	9.621746157837796	9.567606261458238	10.042919542958604	86100813.1859951	55543192.4514974	563209376.9224999	0.0	5471.541555877701	15135.681470777006	25416.061055838763	32911.56593530835	37543.06249282234	0.00020763603768017027	9.643249850121217	9.568496341599324	10.046635258325072	105348627.90464453	55543192.4514974	898820443.9927568
10	797	1.6350084662170894e-05	2.855135891437866e-05	1.6344380144734208e-05	2.855135891437866e-05	0.0	13918.77467290301	38257.49501101544	63615.60894226441	82167.88487322076	93583.15046419603	0.00014623422383975882	9.217397474004501	9.293773544709802	9.295987708308155	0.0	6962.419526572237	19142.205868283883	31828.12528353579	41112.93518119505	46832.66332267458	0.0001470557736767978	9.201818969526107	9.293992095705406	9.296014432065938	53844502.85636765	48733915.67803786	473198745.9074885	0.0	12568.239680660285	34539.46739296394	57416.791094081236	74151.29070822228	84443.01820715316	0.00014401880299742332	9.217457328355803	9.293870150824839	9.296014432065938	89309983.37724696	58082870.11624059	996546271.9519119	0.0	6962.419526572237	19142.205868283883	31828.12528353579	41112.93518119505	46832.66332267458	0.0001470557736767978	9.201818969526107	9.293992095705406	9.296014432065938	53844387.8853822	48733915.67803786	473198745.9074885	0.0	12568.239680660285	34539.46739296394	57416.791094081236	74151.29070822228	84443.01820715316	0.00014401880299742332	9.217457328355803	9.293870150824839	9.296014432065938	89309983.37724696	58082870.11624059	996546271.9519119	0.0	15080.454801254897	41456.33589836949	68950.63683342322	89067.34537761248	101449.12817428599	0.0001479972405155188	9.219342137886674	9.293733271174121	9.295973809286966	132211611.37738918	58082870.11624059	1521179664.1536927
14	343	2.264485924041141e-05	3.707083634909994e-05	2.263616732104848e-05	3.705708941636617e-05	0.0	20529.532013366843	59396.11708749654	102291.65962102781	133526.69945920864	154290.02866925803	0.0005004580044883444	10.071306793764016	9.94408461340867	10.499909194014478	0.0	10250.602564116794	29696.10818715543	51175.831160521346	66822.69850561551	77253.99153801924	0.0005095764888521023	10.040689517602726	9.853311001613422	10.433293776842746	8325.58262461827	0.0	604357093.9579337	0.0	18525.554812932645	53613.24194827032	92346.35666907001	120553.15089918222	139315.46487329053	0.0005024222122160459	10.063667102228923	9.856861401773553	10.489177227817455	36614.8358266176	0.0	1237003243.3777282	0.0	10242.358543486462	29673.169064838945	51137.04940127137	66772.4567818868	77196.66702456436	0.0005097630715128666	10.040657602392725	9.853307256666374	10.433293776842746	8315.824563101647	0.0	603071227.8005764	0.0	18518.083687384467	53591.40773498837	92308.5905402785	120503.75121990783	139258.16286031797	0.0005023981444989607	10.06375423119984	9.857142897162952	10.489177227817455	36581.7439861202	0.0	1237003243.3777282	0.0	22850.619785292656	66067.53884088766	113744.81869691583	148455.44175699155	171494.69001619346	0.0004957993620063366	10.087053125004674	10.028993360869666	10.503732500826326	187477.41158749632	0.0	2158969278.202916
14	661	3.251667166391377e-05	5.4715905490384415e-05	3.242555207590211e-05	5.467308742376804e-05	0.0	64356.18161152511	206510.02448064985	365752.2064103011	484136.49408594123	578884.2112439637	0.0014807864456651855	8.273623836514055	8.100872462198708	9.453068024662437	0.0	31923.06215875268	103427.43310756018	183622.4412126117	243261.25653179898	291621.0993322702	0.00159045453331453	8.15149689810064	8.014203033520987	9.296345528846553	72678901.80773358	15454572.23572737	541349652.2474257	0.0	58171.13468013052	186979.4050675495	331296.1120838559	438587.27956876566	524661.1161797123	0.0015017880885017175	8.250861040722278	8.082046647734924	9.450125874824469	120886274.8939106	15454572.23572737	1309011748.1897373	0.0	31794.108537398253	103010.03053048074	182881.3327648965	242279.55660627817	290444.33295007015	0.0015902891055796203	8.15175626022477	8.014203033520987	9.295863097820332	72592293.72372323	15454572.23572737	538777919.9327111	0.0	58111.035335302564	186794.19743106223	330973.3243364378	438162.8925360095	524159.8188704256	0.0015021375012221306	8.250391950162715	8.081932576980785	9.449976723745353	120796892.0204271	15454572.23572737	1307725882.03238	0.0	71978.1343208492	230199.31401152373	407368.49005280226	539058.4079606049	643968.8678122213	0.0014441483834963284	8.315862361718006	8.14242771920862	9.481832186442674	147470842.8261162	15454572.23572737	2247694043.0605707
