# Li & White 2009
# logM*, logdN/dlogM* [cMpc-3]
9.71336, -2.07127
9.71835, -2.07136
9.72335, -2.07146
9.72835, -2.07156
9.73335, -2.07167
9.73835, -2.07179
9.74335, -2.07192
9.74835, -2.07205
9.75335, -2.07219
9.75835, -2.07234
9.76335, -2.07249
9.76835, -2.07266
9.77335, -2.07283
9.77835, -2.07300
9.78335, -2.07319
9.78835, -2.07339
9.79335, -2.07359
9.79835, -2.07380
9.80335, -2.07402
9.80835, -2.07424
9.81335, -2.07448
9.81835, -2.07472
9.82335, -2.07498
9.82835, -2.07524
9.83335, -2.07551
9.83836, -2.07578
9.84335, -2.07607
9.84835, -2.07637
9.85335, -2.07668
9.85835, -2.07699
9.86335, -2.07732
9.86835, -2.07765
9.87335, -2.07800
9.87835, -2.07835
9.88335, -2.07871
9.88835, -2.07909
9.89335, -2.07947
9.89835, -2.07987
9.90335, -2.08027
9.90835, -2.08069
9.91335, -2.08111
9.91835, -2.08155
9.92335, -2.08199
9.92835, -2.08245
9.93335, -2.08292
9.93835, -2.08340
9.94335, -2.08389
9.94835, -2.08440
9.95335, -2.08491
9.95835, -2.08544
9.96336, -2.08598
9.96835, -2.08653
9.97335, -2.08709
9.97835, -2.08767
9.98335, -2.08826
9.98835, -2.08886
9.99335, -2.08947
9.99835, -2.09009
10.0034, -2.09073
10.0084, -2.09138
10.0134, -2.09205
10.0184, -2.09273
10.0234, -2.09342
10.0284, -2.09413
10.0334, -2.09485
10.0384, -2.09558
10.0434, -2.09633
10.0484, -2.09709
10.0534, -2.09787
10.0584, -2.09867
10.0634, -2.09947
10.0684, -2.10030
10.0734, -2.10113
10.0784, -2.10199
10.0834, -2.10286
10.0884, -2.10374
10.0934, -2.10464
10.0984, -2.10556
10.1034, -2.10649
10.1084, -2.10744
10.1134, -2.10841
10.1184, -2.10940
10.1234, -2.11040
10.1284, -2.11142
10.1334, -2.11245
10.1384, -2.11351
10.1434, -2.11458
10.1484, -2.11567
10.1534, -2.11678
10.1584, -2.11790
10.1634, -2.11905
10.1684, -2.12022
10.1734, -2.12140
10.1784, -2.12260
10.1834, -2.12383
10.1884, -2.12507
10.1934, -2.12634
10.1984, -2.12762
10.2034, -2.12892
10.2084, -2.13025
10.2134, -2.13160
10.2184, -2.13297
10.2234, -2.13436
10.2284, -2.13577
10.2334, -2.13720
10.2384, -2.13866
10.2434, -2.14014
10.2484, -2.14164
10.2534, -2.14316
10.2584, -2.14471
10.2634, -2.14629
10.2684, -2.14788
10.2734, -2.14950
10.2784, -2.15115
10.2834, -2.15282
10.2884, -2.15451
10.2934, -2.15623
10.2984, -2.15798
