# McConnachie 2018
# logM*, N(>M*)
6.777380357365988, 9.868339004852913
6.834077845807823, 9.502511312731512
6.889486754966888, 9.154646915959582
6.947472822691491, 8.709921146637805
7.0041703111333256, 8.270511807765072
7.061898663001375, 7.911720202934102
7.117565288016994, 7.682110991198767
7.1742627764588285, 7.457078443403233
7.230960264900663, 7.246237405571174
7.287657753342497, 7.046285147095181
7.344355241784331, 6.936246526866216
7.401052730226166, 6.844664362276452
7.457750218668, 6.763747872972038
7.512729601399475, 6.685866337708992
7.568568036986131, 6.610551277367791
7.623976946145196, 6.522128672744605
7.692271648131951, 6.42870222675486
7.7618549294014745, 6.348815860295353
7.831438210670998, 6.275955983435833
7.914766337623392, 6.140605358981173
8.041218917905786, 5.811134692490327
8.096885542921404, 5.500624081551715
8.153583031363238, 5.210348811040154
8.207703361239535, 4.889173006263231
8.256669373984757, 4.452400801723301
8.308212545295515, 4.061728899063976
8.364910033737349, 3.796587399307552
8.421607522179183, 3.571166907701962
8.478305010621018, 3.3579559194823996
8.5344297971594, 3.1560021757034153
8.577525615394228, 2.9952995341611945
8.591699987504686, 2.545908159598289
8.596854304635762, 2.3498023274893325
8.620907784580783, 1.9907032988073627
8.679323378732976, 1.8934582710969081
8.737567162314132, 1.8111894991723863
8.791172060477322, 1.7388088804861082
8.848127264775709, 1.6698025832755732
8.911267649631387, 1.5927743373062953
8.967965138073222, 1.5280529340558449
9.024662626515056, 1.4647313539871
9.08136011495689, 1.4104325210686677
9.138057603398725, 1.3529311645704372
9.194755091840559, 1.2977740577613965
9.25660689741347, 1.236295720927124
9.322324440834688, 1.1776782535177408
9.375156191428214, 1.131376176210113
9.431853679870049, 1.0868850261037981
9.488551168311883, 1.0447645282325337
9.534940022491565, 1.0103161757106303
