# McConnachie 2012
# logM*, N(>M*)
6.767071723103836, 4.9440306294448275
6.82376921154567, 4.837969049877553
6.880466699987505, 4.730872134629666
6.937164188429339, 4.621294245873094
6.993861676871173, 4.518993806766661
7.0505591653130075, 4.418957966987724
7.107256653754842, 4.324160483487354
7.163954142196676, 4.2284376204338985
7.2206516306385105, 4.134833750545968
7.277349119080345, 4.030593853182054
7.309993127577159, 3.5567067455570087
7.318583656128952, 3.1217846661467017
7.354663876046483, 2.9772815743200196
7.411361364488317, 2.927713012724417
7.4680588529301515, 2.8779629061874883
7.524756341371986, 2.8300478944480294
7.583000124953143, 2.777193520467806
7.638151318255654, 2.7279966540518257
7.694848806697489, 2.6750825734590866
7.751546295139323, 2.628705761008171
7.808243783581157, 2.5849406147905136
7.867002998875422, 2.541015178650244
7.921638760464826, 2.4995841201944837
7.97833624890666, 2.4588285919831647
8.035033737348495, 2.418737579547234
8.09173122579033, 2.3768049154090964
8.148428714232164, 2.3388692220474363
8.205126202673998, 2.2999295449617714
8.261823691115833, 2.260056607126028
8.318521179557667, 2.2200982647663086
8.375218667999501, 2.1861925396103796
8.431916156441336, 2.1490429585950475
8.48861364488317, 2.1125246538029225
8.545311133325004, 2.075900677915454
8.602008621766839, 2.0432440466967017
8.660252405347995, 1.9948243936218266
8.699940647257279, 1.9128959342822156
8.792718355616644, 1.6752870502182164
8.849415844058479, 1.5577334144512842
8.906113332500313, 1.4428663099350547
8.962810820942147, 1.334134234735945
9.019508309383982, 1.2357553111291257
9.076205797825816, 1.1458325512606162
9.13290328626765, 1.0617102669701073
9.171560664750718, 1.0062981685580945
